english_title,japanese_title,producer,serial,date,category
Shin Shougi Club,新・将棋倶楽部,ヘクト / 夏システム / Hector / Natsu-System,SHVC-AHJJ-JPN,1995-09-22,Table Game / Shougi
Asahi Shinbun Rensai - Katou Ichi-Ni-San Shougi - Shingiryuu,朝日新聞連載 加藤一二三九段将棋 心技流,バリエ / Varie,SHVC-A23J-JPN,1995-09-22,Table Game / Shougi
Chouaniki - Bakuretsu Rantou Hen,超兄貴 ~爆烈乱闘篇~,メサイヤ（日本コンピューターシステム） / Masiya (NCS),SHVC-AANJ-JPN,1995-09-22,Fighting / Hand To Hand
Jikkyou World Soccer 2 - Fighting Eleven,実況ワールドサッカー2 ファイティング イレブン,コナミ / Konami,SHVC-AWJJ-JPN / SNS-AWJE-USA,1995-09-22,Sports / Soccer
NBA Jikkyou Basket - Winning Dunk,NBA実況バスケット ウイニングダンク,コナミ / Konami,SHVC-ANJJ-JPN / SNS-ANJE-USA,1995-09-29,Sports / Basketball
Joushou Mahjong Tenpai,常勝麻雀 天牌,エニックス / ゲームアーツ / マイクロパイン / Enix / Game Arts / Micro Pine,SHVC-ZTMJ-JPN,1995-09-29,Table Game / Mahjong
Wizardry 6 - Bane of the Cosmic Forge,ウィザードリィVI 禁断の魔筆,アスキー / ゲームスタジオ / ASCII / Game Studio / Sir-Tech Software,SHVC-AW6J-JPN,1995-09-29,RPG / First Person
Sargeant Saunder's Combat!,サージェント・サンダース・コンバット！,アスキー / チキンヘッド / ASCII / Chickenhead / Play Avenue,SHVC-AJAJ-JPN,1995-09-29,Strategy
Verne World,ヴェルヌワールド,バンプレスト / デュアル / Banpresto / DUAL,SHVC-AVWJ-JPN,1995-09-29,RPG
Nomark Baku Haitou - Shijou Saikyou no Jakushi Tatsu,ノーマーク爆牌党 史上最強の雀士達,エンジェル / Angel,SHVC-AAPJ-JPN,1995-09-29,Table Game / Mahjong
Metal Max Returns,メタルマックスリターンズ,"データイースト / クレアテック, 空想科学 / Data East / Crea Tech, Kuusoukagaku",SHVC-AZMJ-JPN,1995-09-29,RPG
Magic Knight Rayearth - Mahou Kishi,マジックナイト レイアース 魔法騎士,トミー / パンドラボックス / Tomy / Pandora Box,SHVC-AURJ-JPN,1995-09-29,RPG
Derby Jockey 2,ダービージョッキー2,アスミック / ミューズソフト / Asmik / Muse Soft,SHVC-A2DJ-JPN,1995-09-29,Sports / Horse Racing (競馬)
Hi no Ouji Yamato Takeru,火の皇子 ヤマトタケル,東宝 / マルチメディア インテリジェンス トランスファー（ミット） / Toho / Multimedia Intelligence Transfer (MIT),SHVC-AYTJ-JPN,1995-09-29,RPG
Wedding Peach,ウェディングピーチ,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-AWHJ-JPN,1995-09-29,Etc / Dating
Heian Fuuunden,平安風雲伝,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-AKHJ-JPN,1995-09-29,Strategy / RPG
AIII S.V. - A Ressha de Ikou 3 Super Version,A III S.V. A列車で行こう3 スーパーバージョン,パック・イン・ビデオ / アートディンク / Pack-in-Video / Artdink,SHVC-ATGJ-JPN,1995-09-29,Strategy
Holy Umbrella - Dondera no Mubo!!,ホーリーアンブレラ ドンデラの無謀！！,ナグザット / Naxat Soft,SHVC-ADQJ-JPN,1995-09-29,Action / RPG
Heiwa Pachinko World 2,平和 パチンコワールド2,ショウエイシステム / Shouei System,SHVC-AWTJ-JPN,1995-09-29,Gambling / Pachinko
Gourmet Sentai Bara Yarou,美食戦隊 薔薇野郎 ぐるめせんたい ばらやろう,"ヴァージンインタラクティブ エンターテインメント / /ウインズ, フューパック / Virgin Interactive Entertainment / Winds, Fupac",SHVC-AV6J-JPN,1995-09-29,Action / Beat 'em Up
Zen Nippon GT Senshuken - Hyper Battle Game,全日本GT選手権,バンプレスト / カネコ（金子製作所） / Banpresto / Kaneko,SHVC-AGVJ-JPN,1995-09-29,Sports / Formula Racing (競馬)
Hamelin no Violin Hiki,ハーメルンのバイオリン弾き,エニックス / ダフト / Enix / Daft,SHVC-AVNJ-JPN,1995-09-29,Action / Platformer
Tactics Ogre - Let Us Cling Together,タクティクス オウガ,クエスト / Quest,SHVC-AO7J-JPN,1995-10-06,Strategy / RPG
Shinseiki Odysselya 2,神聖紀オデッセリアII,ビック東海 / Vic Tokai,SHVC-AOLJ-JPN,1995-10-06,RPG
Gekitou Burning Pro-Wrestling,激闘 バーニング・プロレス,ビー・ピー・エス / 浮世亭 / Bullet-Proof Software / Ukiyotei,SHVC-AWNJ-JPN,1995-10-06,Sports / Wrestling
Supapoon,すぱぽーん,ユタカ / ナウプロダクション / Yutaka / Nowpro,SHVC-A5YJ-JPN,1995-10-06,Puzzle
Game no Tetsujin - The Shanghai,ゲームの鉄人 The上海,サンソフト（サン電子） / アクティビジョン / Sunsoft (Sun Electronics) / Activision,SHVC-A2GJ-JPN,1995-10-13,Puzzle
Hyper Iria,ハイパーイリア,"バンプレスト / Banpresto, Crowd / Zeiram Project",SHVC-AZEJ-JPN,1995-10-13,Action / Platformer
Super Hanafuda 2,スーパー花札 弐 はなふだ2,アイマックス / I'MAX,SHVC-AHNJ-JPN,1995-10-20,Table Game
Sougou Kakutougi Rings - Astral Bout 3,総合格闘技 リングス アストラルバウト3,キングレコード / King Records / A WAVE,SHVC-AABJ-JPN-(KIS-5),1995-10-20,Sports / Wrestling
Magical Drop,マジカルドロップ,データイースト / Data East / Russ,SHVC-AD7J-JPN,1995-10-20,Puzzle / Aim Matching
Tenchi Souzou,天地創造,エニックス / クインテット / Enix / Quintet,SHVC-AQTJ-JPN,1995-10-20,Action / RPG
Panel de Pon,パネルでポン,任天堂 / インテリジェントシステムズ / Nintendo / Intelligent Systems,SHVC-AYLJ-JPN,1995-10-27,Puzzle / Matching
From TV Animation Slam Dunk - SD Heat Up!!,テレビアニメ スラムダンク SDヒートアップ！！,バンダイ / Bandai,SHVC-AIHJ-JPN,1995-10-27,Sports / Basketball
Crystal Beans From Dungeon Explorer,クリスタルビーンズ フロムダンジョンエクスプローラ,ハドソン / Hudson,SHVC-AC3J-JPN,1995-10-27,Action / RPG
Shiroi Ringu He - Twinkle Little Star,白いリングへ トゥインクル・リトル・スター,ポニーキャニオン / アトリエドゥーブル / Pony Canyon / Atelier Double,SHVC-ALOJ-JPN-(PCPE-00502),1995-10-27,Sports / Wrestling
Tenchi Muyou! Game Hen,天地無用！ げーむ編,バンプレスト / Banpresto,SHVC-AMUJ-JPN,1995-10-27,RPG
Ultra Baseball Jitsumei Ban 3,ウルトラベースボール 実名版3,カルチャーブレーン / Culture Brain,SHVC-AU2J-JPN,1995-10-27,Sports / Baseball
Maten Densetsu - Senritsu no Ooparts,魔天伝説 ~戦慄のオーパーツ~,タカラ / オフィスアイ / Takara / Office I,SHVC-AZ9J-JPN,1995-10-27,RPG
Justice League Task Force,ジャスティスリーグ,"アクレイムジャパン / サンソフト / Acclaim Japan / Blizzard Entertainment, Sunsoft",SHVC-AJLJ-JPN / SNS-AJLE-USA,1995-10-27 / 1995-01-01,Fighting / Hand To Hand
Judge Dredd,ジャッジ・ドレッド,アクレイムジャパン / Acclaim Japan / Probe,SHVC-AJDJ-JPN / SNS-AJDE-USA,1995-10-27 / 1995-10-26,Action / Platformer
Batman Forever,バットマン フォーエヴァー,アクレイムジャパン / Acclaim Japan / Probe Entertainment,SHVC-A3BJ-JPN,1995-10-27,Action / Beat 'em Up
Foreman For Real,フォアマン フォーリアル,アクレイムジャパン / Acclaim Japan / Software Creations,SHVC-AFEJ-JPN / SNS-AFEE-USA,1995-10-27 / 1995-01-01,Sports / Boxing
Light Fantasy II,ライトファンタジーII,トンキンハウス / Tonkin House,SHVC-ALRJ-JPN,1995-10-27,RPG
SD F-1 Grand Prix,SD F-1 グランプリ,ビデオシステム / Video System,SHVC-AGFJ-JPN,1995-10-27,Sports / Formula Racing (競馬)
Mahjong Hisshou Den - Shin Naki no Ryuu,麻雀飛翔伝 真 哭きの竜,ベック / Interbec,SHVC-ARUJ-JPN,1995-10-27,Table Game / Mahjong
Pachi-Slot Monogatari - PAL Kougyou Special,パチスロ物語 パル工業スペシャル,"日本ソフトシステム, ケイエスエス / Nihon Soft System, KSS",SHVC-A2WJ-JPN,1995-10-27,Gambling / Pachinko
Gan Gan Gan-Chan,ガンガンガンチャン,マジファクト / Magifact,SHVC-AGQJ-JPN,1995-10-27,Action
Konpeki no Kantai,紺碧の艦隊,エンジェル / Angel,SHVC-ADFJ-JPN,1995-11-02,Strategy
Hissatsu Pachinko Collection 3,必殺パチンココレクション3,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-A3HJ-JPN,1995-11-02,Gambling / Pachinko
Zenkoku Jyudan Ultra Shinri Game,全国縦断ウルトラ心理ゲーム,ヴィジット / 浮世亭 / Visit / Ukiyotei,SHVC-AZJJ-JPN,1995-11-10,Strategy / Simulation (占い)
Romancing Sa-Ga 3,ロマンシング サ·ガ3,スクウェア / Square,SHVC-AL3J-JPN,1995-11-11,RPG
Captain Tsubasa J - The Way to World Youth,キャプテン翼J ザ ウェイ トゥ ワールドユース,バンダイ / Bandai,SHVC-ACVJ-JPN,1995-11-17,Sports / Soccer
Logos Panic GO.A.I.SA.TU.,ロゴスパニックごあいさつ,ユタカ / Yutaka,SHVC-A6YJ-JPN,1995-11-17,Puzzle
Shanghai - Banri no Choujou,上海 万里の長城,サンソフト（サン電子） / アクティビジョン / Sunsoft (Sun Electronics) / Activision,SHVC-A4SJ-JPN,1995-11-17,Puzzle
Shin Star Trek - Ooinaru Isan IFD no Nazo o Oe,新スタートレック 〜大いなる遺産IFDの謎を追え〜,徳間ジャパンコミュニケーションズ / 徳間書店 / アクシズ アート アミューズ / Tokuma Japan Communications / Tokuma Shoten / Axes Art Amuse / Spectrum HoloByte,SHVC-XN,1995-11-17,Adventure
Zenkoku Koukou Soccer Senshuken 2,全国高校サッカー2,四次元 / 日本シスコン / Yojigen / Nihon Syscom,SHVC-AY7J-JPN,1995-11-17,Sports / Soccer
Block Kuzushi,ブロックくずし,プランニングオフィスワダ（パウ）/ エルステッド / Planning Office WADA (POW) / Orested,SHVC-AB8J-JPN,1995-11-17,Arcade / Breakout
Rendering Ranger R2,レンダリング・レンジャー R2,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment / Rainbow Arts,SHVC-AVCJ-JPN,1995-11-17,Shooter / Horizontal
Donkey Kong Country 2 - Diddy's Kong Quest,スーパードンキーコング2 ディクシー ＆ ディディー,任天堂 / レア / Nintendo / RARE,SHVC-ADNJ-JPN (G740814) / SNS-ADNE-USA,1995-11-21,Action / Platformer
Mighty Morphin Power Rangers,マイティーモーフィン パワーレンジャー,バンダイ / Bandai,SHVC-52 / SNS-52,1995-11-24 / 1994-10-10,Action / Beat 'em Up
Kishin Douji Zenki - Denei Raibu,鬼神童子ZENKI 電影雷舞 ゼンキ でんえいライブ,ハドソン / Hudson,SHVC-AZDJ-JPN,1995-11-24,Fighting / Hand To Hand
Super Okuman Chouja Game - The Game of Billionaire,スーパー億万長者ゲーム,タカラ / Takara,SHVC-ABGJ-JPN,1995-11-24,Table Game
Akagawa Jirou Majotachi no Nemuri,魔女たちの眠り 赤川次郎,パック・イン・ビデオ / Pack-in-Video,SHVC-AAMJ-JPN,1995-11-24,Adventure / Text
Leading Jockey 2,リーディングジョッキー2,カロッツェリアジャパン / デジタルウェア / Carrozzeria Japan / Digital Weare,SHVC-ALJJ-JPN,1995-11-24,Sports / Horse Racing (競馬)
Zero 4 Champ RR-Z,ゼロヨンチャンプ ダブルアール・ヅィー,メディアリング / Media Rings,SHVC-ARZJ-JPN,1995-11-25,Sports / Street Racing (競馬)
Chibi Maruko Chan - Mezase! Minami no Island!!,ちびまる子ちゃん めざせ！南のアイランド！！,コナミ / Konami,SHVC-AT8J-JPN,1995-12-01,Action / Puzzle
Fushigi no Dungeon 2 - Furai no Shiren,不思議のダンジョン2 風来のシレン,チュンソフト / Chun Soft,SHVC-AAXJ-JPN,1995-12-01,RPG
Ouchan no Oekaki Logic,おーちゃんのお絵かきロジック,サンソフト（サン電子） / Sunsoft (Sun Electronics),SHVC-AOUJ-JPN,1995-12-01,Puzzle / Picross
Dokapon Gaiden - Honoo no Audition,ドカポン外伝 炎のオーディション,アスミック / Asmik,SHVC-AGNJ-JPN,1995-12-01,Table Game
Frank Thomas' Big Hurt Baseball,ビッグ・ハート,アクレイムジャパン / Acclaim Japan / Iguana Entertainment,SHVC-AFKJ-JPN / SNS-AFKE-USA,1995-12-01 / 1995-01-01,Sports / Baseball
Ball Bullet Gun - Survival Game Simulation,ボール・ブレット・ガン サバイバルゲーム,アイマックス / I'MAX,SHVC-AAGJ-JPN,1995-12-01,Strategy
Pachiokun Special 3,パチ夫くん スペシャル3,ココナッツジャパン エンターテイメント / Coconuts Japan Entertainment,SHVC-AP3J-JPN,1995-12-01,Gambling / Pachinko
Bishoujo Senshi Sailor Moon Super S - Fuwa Fuwa Panic,美少女戦士セーラームーンSuper S ふわふわパニック,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-A9PJ-JPN,1995-12-08,Puzzle / Matching
Super Momotarou Dentetsu DX,スーパーデラックス 桃太郎電鉄DX,ハドソン / アムカス / Hudson / Amccus,SHVC-AH6J-JPN,1995-12-08,Table Game
Mickey & Donald - Magical Adventure 3,ミッキーとドナルド マジカルアドベンチャー3,カプコン / Capcom,SHVC-AM3J-JPN,1995-12-08,Action / Side Scrolling
Clock Works,クロックワークス,徳間ジャパンコミュニケーションズ / 徳間書店 / アクシズ アート アミューズ / Tokuma Japan Communications / Tokuma Shoten / Axes Art Amuse / Spectrum HoloByte,SHVC-AQWJ-JPN,1995-12-08,Puzzle
Super Puyo Puyo 2,す〜ぱ〜ぷよぷよ通,コンパイル / Compile,SHVC-AXPJ-JPN,1995-12-08,Puzzle / Matching
Harukanaru Augusta 3 - Masters New,マスターズ ニュー 遥かなるオーガスタ3 MASTERS New,ティーアンドイーソフト / T&E Soft,SHVC-AO3J-JPN,1995-12-08,Sports / Golf
American Battle Dome,アメリカンバトルドーム,ツクダオリジナル / Tsukuda Original,SHVC-A5BJ-JPN,1995-12-08,Arcade / Pinball
Dragon Quest VI - Maboroshi no Daichi,ドラゴンクエストVI 幻の大地,エニックス / ハートビート / Enix / Heartbeat,SHVC-AQ6J-JPN,1995-12-09,RPG
Jikkyou Oshaberi Parodius - Forever With Me,実況おしゃべりパロディウス,コナミ / Konami,SHVC-AJOJ-JPN,1995-12-15,Shooter / Horizontal
"Shounin yo, Taishi wo Idake!!",商人よ、大志を抱け！！,バンダイ / プレックス / Bandai / Plex,SHVC-AYQJ-JPN,1995-12-15,Table Game
Go Go Ackman 3,ゴーゴー アックマン3,バンプレスト / Banpresto,SHVC-AVPJ-JPN,1995-12-15,Action / Platformer
Doraemon 4 - Nobita to Tsuki no Oukoku,ドラえもん4 のび太と月の王国,エポック社 / アジェンダ / Epoch / Agenda,SHVC-AD4J-JPN,1995-12-15,Action / Platformer
Theme Park,テーマパーク,エレクトロニック・アーツ・ビクター / Electronic Arts Victor / Bullfrog Productions,SHVC-ATQJ-JPN,1995-12-15,Strategy
Nichibutsu Arcade Classics 2 - Heiankyo Alien,ニチブツアーケードクラシックス2 平安京エイリアン,日本物産（ニチブツ） / 日本シスコン / Nihon Bussan (Nichibutsu) / Nihon Syscom,SHVC-AAEJ-JPN,1995-12-15,Arcade / Retro
Princess Maker - Legend of Another World,プリンセスメーカー レジェンド・オブ・アナザーワールド,タカラ / ガイナックス / Takara / Gainax,SHVC-AOIJ-JPN,1995-12-15,Strategy
Motteke Oh! Dorobou,もってけoh ! ドロボー,データイースト / Data East,SHVC-AOEJ-JPN,1995-12-15,Table Game
Seijuu Maden - Beasts & Blades,聖獣魔伝 ビースト＆ブレイド,ビー・ピー・エス / オーアールジー / Bullet-Proof Software / ORG,SHVC-AB5J-JPN,1995-12-15,Strategy
JB The Super Bass,JBザ・スーパーバス,"NGP / ギャップス, ナグザット / N&G Project / GAPS, Naxat",SHVC-A94J-JPN,1995-12-15,Sports / Fishing (釣り)
Super Black Bass 3,スーパーブラックバス3,スターフィッシュ / Star Fish,SHVC-A3SJ-JPN,1995-12-15,Sports / Fishing (釣り)
Honke Sankyo Fever - Jikki Simulation 2,本家Sankyo FEVER 2 実機シミュレーション,ボスコミュニケーションズ / 三共 / ティー・イー・エヌ / Boss Communications / Sankyo / T・E・N / Japan Vistec,SHVC-A33J-JPN,1995-12-15,Gambling / Pachinko
Mizuki Shigeru no Youkai Hyakkiyakou,水木しげるの妖怪百鬼夜行,日本ソフトシステム / ケイエスエス / Nihon Soft System / KSS,SHVC-AYHJ-JPN,1995-12-20,Table Game
SD Gundam GNext,SDガンダムGNEXT (ジーネクスト),バンダイ / Bandai,SHVC-ZX3J-JPN,1995-12-22,Strategy
Ganbare Goemon 4 - Kirakira Douchuu - Boku ga Dancer ni Natta Riyuu,がんばれゴエモン きらきら道中 僕がダンサーになった理由,コナミ / Konami,SHVC-A4GJ-JPN,1995-12-22,Action
Far East Of Eden - Tengai Makyou Zero,天外魔境ＺＥＲＯ,ハドソン / レッド / Hudson / RED,SHVC-AZRJ-JPN,1995-12-22,RPG
The Great Battle 5,ザ・グレイトバトルV,バンプレスト / Banpresto,SHVC-AG5J-JPN,1995-12-22,Action
3x3 Eyes - Sazanaizu Jyumahoukan,3x3 EYES 〜獣魔奉還〜 [サザンアイズ（三只眼）],バンプレスト / バンプレ企画 / Banpresto,SHVC-A83J-JPN,1995-12-22,Action / Adventure
Sengoku no Hasha - Tenka Nuno bu he no Michi,戦国の覇者 〜天下布武への道〜,バンプレスト / バンプレ企画/ゲームアーツ / Banpresto / Game Arts,SHVC-A8AJ-JPN,1995-12-22,Strategy
Farland Story 2,ファーランドストーリー2,バンプレスト / テイジイエル / Banpresto / Technical Group Laboratory,SHVC-A2FJ-JPN,1995-12-22,Strategy / RPG
Final Fight Tough,ファイナルファイト タフ,カプコン / Capcom,SHVC-AFZJ-JPN / SNS-AFZE-USA,1995-12-22,Action / Beat 'em Up
Super Fire Pro Wrestling X,スーパーファイヤープロレスリングX,ヒューマン / Human,SHVC-AF5J-JPN,1995-12-22,Sports / Wrestling
Super Chinese World 3 - Chou Jigen Dai Sakusen,スーパーチャイニーズワールド3 〜超次元大作戦〜,カルチャーブレーン / Culture Brain,SHVC-AWQJ-JPN,1995-12-22,Action / RPG
Tecmo Super Bowl III - Final Edition,テクモスーパーボウルIII ファイナルエディション,テクモ / Tecmo,SHVC-AW4J-JPN / SNS-AW4E-USA,1995-12-22,Sports / Football
Getsumen no Anubis,月面のアヌビス,イマジニア / マルチメディア インテリジェンス トランスファー（ミット） / Imagineer / Multimedia Intelligence Transfer (MIT),SHVC-ALEJ-JPN,1995-12-22,Sound Novel
Zakuro no Aji,ざくろの味,イマジニア / Imagineer,SHVC-AZAJ-JPN,1995-12-22,Sound Novel
Battle Submarine,バトルサブマリン,パック・イン・ビデオ / Pack-in-Video,SHVC-A5LJ-JPN,1995-12-22,Strategy
Kouryuu no Mimi,黄龍の耳,バップ / VAP (NTV),SHVC-AKVJ-JPN,1995-12-22,Action
Lodoss Tou Senki,ロードス島戦記,角川書店 / グループSNE / ハミングバードソフト / Kadokawa Digital Entertainment / Group SNE / Humming Bird Soft,SHVC-ALWJ-JPN,1995-12-22,RPG
Shougi Sanmai,将棋三昧,ヴァージンインタラクティブ エンターテインメント / Virgin Interactive Entertainment,SHVC-AVEJ-JPN,1995-12-22,Table Game / Shougi
Saikyou Takada Nobuhiko,ザ・プロレスリング 最強 高田延彦,ハドソン/デュアル / Hudson / Dual,SHVC-AS7J-JPN,1995-12-27,Sports / Wrestling
Sangokushi Eiketsuden,三国志 英傑伝,光栄 / Koei,SHVC-A3AJ-JPN,1995-12-28,RPG
Ys 5 - Ushinawareta Suna no Miyako Kefin,イースV 失われた砂の都ケフィン,日本ファルコム / Falcom,SHVC-AYVJ-JPN,1995-12-29,Action / RPG
Super Shougi 3 - Kitaihei,スーパー将棋3 棋太平,アイマックス / I'MAX,SHVC-A3IJ-JPN,1995-12-29,Table Game / Shougi
Dai Bakushou Jinsei Gekijou - Zukkoke Salary Man Hen,大爆笑 人生劇場 ずっこけサラリーマン編,タイトー / Taito,SHVC-AZSJ-JPN,1995-12-29,Table Game
Taikyoku Igo - Idaten,対局囲碁 韋駄天,ビー・ピー・エス / Bullet-Proof Software,SHVC-AIIJ-JPN,1995-12-29,Table Game / Igo
Kyoraku Sanyo Toyomaru Okumura Daiichi Maruhon Parlor! Parlor! 4 CR - Jikki Shimyureeshon Geemu,京楽 三洋 豊丸 奥村 大一 マルホン パーラー！IV パチンコ6社・CR実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AZCJ-JPN,1995-12-29,Gambling / Pachinko
Madou Monogatari - Hanamaru Daiyouchienji,魔導物語 はなまる大幼稚園児,徳間ジャパンコミュニケーションズ / 徳間書店インターメディア / コンパイル / Tokuma Japan Communications / Tokuma Shoten Intermedia / Compile,SHVC-ADYJ-JPN,1996-01-12,RPG
Tekichuu Keiba Juku,的中競馬塾,バンプレスト / バンプレ企画 / Banpresto,SHVC-APCJ-JPN,1996-01-19,Sports / Horse Racing (競馬)
Iso Zuri Ritou Hen,磯釣り 離島篇,パック・イン・ビデオ / Pack-in-Video,SHVC-A5IJ-JPN,1996-01-19,Sports / Fishing (釣り)
Kyoraku Sanyo Toyomaru Okumura Taiyou Parlor! Parlor! 3,京楽 三洋 豊丸 奥村 太陽 Parlor ! パーラー！3 パチンコ5社・実機シミュレーションゲーム,日本テレネット / Telenet Japan,SHVC-AYPJ-JPN,1996-01-19,Gambling / Pachinko
SD Gundam Power Formation Puzzle,SD ガンダム パワー フォーメーション パズル,バンダイ / トムクリエイト / Bandai / Tom Create,SHVC-AXXJ-JPN,1996-01-26,Puzzle
Super Yakyuu Dou,スーパー野球道,バンプレスト / バンプレ企画 / 日本クリエイト / Banpresto / Nihon Create,SHVC-A82J-JPN,1996-01-26,Sports
Nobunaga no Yabou - Tenshouki,信長の野望 天翔記,光栄 / Koei,SHVC-AN6J-JPN,1996-01-26,Strategy
Igo Club,囲碁倶楽部,ヘクト / Hector,SHVC-AIVJ-JPN,1996-01-26,Table Game / Igo
Heisei Gunjin Shougi,平成軍人将棋,カロッツェリアジャパン / Carrozzeria Japan,SHVC-AG7J-JPN,1996-01-26,Table Game / Shougi
Mujintou Monogatari,無人島物語,"日本ソフトシステム, ケイエスエス / メディアミューズ, オープンセサミ / Nihon Soft System, KSS / Media Muse, Open Sesame",SHVC-AK6J-JPN,1996-01-26,Strategy / Simulation (占い)
Madara Saga - Youchien Senki Madara,幼稚園戦記まだら,データム・ポリスター / Datam Polystar,SHVC-ADPJ-JPN,1996-01-26,RPG
RPG Tsukuru 2,RPGツクール2,アスキー / 空想科学 / サクセス / ASCII / Kuusoukagaku / Success,SHVC-ZR2J-JPN,1996-01-31,RPG / Etc
Bakumatsu Kourinden Oni,幕末降臨伝ONI,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-A20J-JPN,1996-02-02,RPG
Tokimeki Memorial - Densetsu no Ki no Shita de,ときめきメモリアル 伝説の樹の下で,コナミ / Konami,SHVC-AM8J-JPN,1996-02-09,Strategy
Bahamut Lagoon,バハムート ラグーン,スクウェア / Square,SHVC-AXBJ-JPN,1996-02-09,RPG
Shougi Saikyou 2 - Jissen Taikyoku Hen,将棋最強II 実戦対局編,魔法株式会社 / Magical Company,SHVC-AX2J-JPN,1996-02-09,Table Game / Shougi
Pro Kishi Jinsei Simulation: Shougi no Hanamichi,プロ棋士人生シミュレーション 将棋の花道,アトラス / Atlus,SHVC-AARJ-JPN,1996-02-16,Table Game / Shougi
BattleTech 3050,バトルテック3050,アスク講談社 / アクティビジョン / Ask Kodansha / Tiburon Entertainment / Activision,SHVC-A35J-JPN / SNS-A35E-USA,1996-02-23,Shooter / 360
Front Mission - Gun Hazard,フロントミッションシリーズ ガンハザード,スクウェア / 大宮ソフト / Square / Omiya Soft,SHVC-AZGJ-JPN,1996-02-23,Action / RPG
Kishin Douji Zenki - Tenchi Meidou,鬼神童子ZENKI 天地鳴動 ゼンキ てんちめいどう,ハドソン / Hudson,SHVC-AZTJ-JPN,1996-02-23,Table Game
Super Famista 5,スーパーファミスタ5,ナムコ / Namco,SHVC-A27J-JPN,1996-02-29,Sports / Baseball
Jikkyou Powerful Pro Yakyuu 3,実況パワフルプロ野球3,コナミ / ダイヤモンドヘッドプロダクション / Konami / Diamond Head Production,SHVC-A3JJ-JPN,1996-02-29,Sports / Baseball
Kidou Senshi Z Gundam - Away to the New Type,機動戦士Zガンダム AWAY TO The NEWTYPE,バンダイ / Bandai,SHVC-AO6J-JPN,1996-03-01,Strategy
Same Game Tsume Game,SAME GAME（さめがめ）鮫亀,ハドソン / Hudson,SHVC-ZS5J-JPN,1996-03-01,Puzzle / Same Game (セイムゲーム)
Tsukikomori,晦－つきこもり,バンプレスト / パンドラボックス / Banpresto / Pandora Box,SHVC-A7MJ-JPN,1996-03-01,Sound Novel
Doom,ドゥーム,"イマジニア / Imagineer / Id Software, Sculptured",SHVC-AD8J-JPN / SNS-AD8E-USA,1996-03-01 / 1996-02-29,Shooter / First Person
NFL Quarterback Club '96,NFLクォーターバッククラブ'96,"アクレイムジャパン / Acclaim Japan / Ljn, Iguana Entertainment",SHVC-AQBJ-JPN / SNS-AQBE-USA,1996-03-01 / 1995-01-01,Sports / Football
Revolution X,レボリューションX,"アクレイムジャパン / Acclaim Japan / Ljn, RAGE",SHVC-AXRJ-JPN / SNS-AXRE-USA,1996-03-01 / 1995-01-01,Shooter / Target
WWF WrestleMania - The Arcade Game,レッスルマニア・ジ・アーケードゲーム,アクレイムジャパン / Acclaim Japan / Sculptured Software / Midway,SHVC-AWVJ-JPN / SNS-AWVE-USA,1996-03-01 / 1996-02-29,Sports / Wrestling
Super Puyo Puyo 2 Remix,す〜ぱ〜ぷよぷよ通リミックス,コンパイル / Compile,SHVC-A7PJ-JPN,1996-03-08,Puzzle / Matching
Ginga Sengoku Gunyuuden Rai,銀河戦国群雄伝ライ,エンジェル / Angel,SHVC-AQPJ-JPN,1996-03-08,Strategy
Jissen Pachinko Hisshouhou! 2,実戦パチンコ必勝法！2,サミー / Sammy,SHVC-A9ZJ-JPN,1996-03-08,Gambling / Pachinko
Chaos Seed - Fuusui Kairouki,カオスシード 風水回廊記,タイトー / ネバーランド / Taito / Neverland,SHVC-AAHJ-JPN,1996-03-15,RPG
Derby Stallion 96,ダービースタリオン96,アスキー / パリティビット / ASCII / Parity Bit,SHVC-ZDBJ-JPN,1996-03-15,Sports / Horse Racing (競馬)
Brandish 2 - Expert,ブランディッシュ2 エキスパート,光栄 / 日本ファルコム / Koei / Falcom,SHVC-AQIJ-JPN,1996-03-15,Action / RPG
Touge Densetsu Saisoku Battle,峠・伝説 最速バトル,ビー・ピー・エス / レナール / Bullet-Proof Software / Lenar,SHVC-ACQJ-JPN,1996-03-15,Sports / Bike Racing (競馬)
Hoshi no Kirby Super Deluxe,星のカービィ スーパーデラックス,任天堂 / ハル研究所 / Nintendo / HAL Laboratory,SHVC-AKFJ-JPN / SNS-AKFE-USA,1996-03-21 / 1996-09-20,Action / Platformer
Jikkyou Keiba Simulation Stable Star,ステイブルスター 〜厩舎物語〜,コナミ / Konami,SHVC-AKQJ-JPN,1996-03-22,Sports / Horse Racing (競馬)
Do-Re-Mi Fantasy - Milon no Dokidoki Daibouken,ドレミファンタジー ミロンのドキドキ大冒険,ハドソン / Hudson,SHVC-AM4J-JPN,1996-03-22,Action / Platformer
